"row";"column";"SD1_sampleC_S_energy_2503.5_eV.tif_D1_sampleC.TIFF_Array_53";"CdSO4-fit";"CdS-fit"
5;24;5229.23;0;1
5;25;5588.25;0;1
5;26;7094.61;0;1
5;27;9462.03;0;1
5;28;11126.7;0;1
5;29;12399;5.55e-17;1
5;30;13278.7;0;1
5;31;13035.7;0.0223709;0.977629
5;32;12807.1;0.0114397;0.98856
5;33;12260.9;0.00661636;0.993384
5;34;11998.5;0.00503007;0.99497
5;35;10909.1;0;1
5;36;10525.8;0;1
5;37;10268.3;0.0433581;0.956642
5;38;9307.91;0.0212499;0.97875
5;39;8328.61;0;1
5;40;8178.33;5.55e-17;1
5;41;9324.8;0;1
5;42;11902.6;0;1
5;43;13336.1;0.0271135;0.972887
5;44;12093.4;0;1
5;45;10505.2;0;1
5;46;10853.9;0;1
5;47;12164.5;0;1
5;48;13141.3;0;1
5;49;13858.3;0.0209231;0.979077
5;50;13574;0.0269071;0.973093
5;51;12774.1;0.00107015;0.99893
5;52;12639.3;0;1
5;53;13849.6;0;1
5;54;14766.3;0.016866;0.983134
5;55;14308;5.55e-17;1
5;56;14604.4;5.55e-17;1
5;57;15866.9;0.0227126;0.977287
5;58;15423.4;0.0187472;0.981253
5;59;13907.4;0;1
5;60;12548.5;0.0116052;0.988395
5;61;12330.6;0;1
5;62;13892.6;5.55e-17;1
5;63;15660.7;5.55e-17;1
5;64;16035.5;0.0239539;0.976046
5;65;14671.5;0.0146849;0.985315
5;66;14372.4;0;1
5;67;15885.3;0;1
5;68;16218.9;0.00317027;0.99683
5;69;16204.2;0.00528958;0.99471
5;70;16125.1;0.000997754;0.999002
5;71;16084.3;0.00821107;0.991789
5;72;14540.9;0.0397879;0.960212
5;73;11613.8;0;1
5;74;9127.76;0;1
5;75;8467.93;0;1
5;76;9011.58;0;1
5;77;9600.16;0;1
5;78;10342.7;0.0138675;0.986132
5;79;10694.4;0;1
5;80;10137.1;0.0235479;0.976452
5;81;9767.58;0;1
5;82;11401;0;1
5;83;14320.6;0;1
5;84;14655.2;0.0203483;0.979652
5;85;14253.8;0.0402837;0.959716
5;86;12732.9;0.0124464;0.987554
5;87;11871.5;0;1
5;88;11942.3;0;1
5;89;12745.7;0;1
5;90;12477.8;0;1
5;91;11675.3;0.000232781;0.999767
5;92;11475.8;0;1
5;93;11475.6;0.0114999;0.9885
5;94;11183.3;0.0219456;0.978054
5;95;11687.1;0;1
5;96;14342.7;0;1
5;97;16051.7;0.00670253;0.993297
5;98;16461.8;0.0448069;0.955193
5;99;16420;0.0267109;0.973289
5;100;15783.3;0;1
5;101;16492.9;0.017347;0.982653
5;102;15939.6;0.0155354;0.984465
5;103;15444.3;0.0146976;0.985302
5;104;14976;0;1
5;105;16510.8;0;1
5;106;18155;0.00293847;0.997062
5;107;19511.6;0.0126806;0.987319
5;108;19698.4;0.0281978;0.971802
5;109;18843.9;0;1
5;110;17271.2;0.0210598;0.97894
5;111;16569;0;1
5;112;16774.6;0.0186694;0.981331
5;113;17126.3;0.0126918;0.987308
5;114;17225;0.00577336;0.994227
